year,site_type,gross_internal_floor_area_m2,site_heated_volume_m3,not_functionally_suitable_occupied_floor_area_pct,gas_consumed_kwh,water_volume_including_borehole_m3,steam_consumed_kwh,hot_water_consumed_kwh,led_lighting_coverage_pct,oil_led_heating_sources_no,overheating_occurrences_triggering_a_risk_assessment_no,flood_occurrences_triggering_a_risk_assessment_no,total_backlog_cost_gbp,age_vulnerability_score,latitude,longitude,not_functionally_suitable_occupied_floor_area_pct_missing,gas_consumed_kwh_missing,water_volume_including_borehole_m3_missing,steam_consumed_kwh_missing,hot_water_consumed_kwh_missing,led_lighting_coverage_pct_missing,oil_led_heating_sources_no_missing,overheating_occurrences_triggering_a_risk_assessment_no_missing,gross_internal_floor_area_m2_missing,site_heated_volume_m3_missing,log_backlog_cost
2021_22,Non inpatient,618.0,1669.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0,0.0,40.0,53.4442,-2.1916,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,Non inpatient,1419.0,3831.0,0.0,18710.0,345.0,0.0,0.0,100.0,0.0,0.0,0,0.0,40.0,53.4667,-2.1667,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,Non inpatient,784.0,2211.0,0.0,101567.0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,60.0,53.4252,-2.3244,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,General acute hospital,292119.0,823776.0,0.0,80090683.0,314053.0,0.0,0.0,5.0,1.0,0.0,0,28286384.0,25.8,53.4698,-2.2295,0,0,0,0,0,0,0,0,0,0,17.15789115144358
2021_22,Non inpatient,9731.0,27441.0,0.0,1779451.0,5948.0,0.0,0.0,30.0,0.0,0.0,0,0.0,100.0,53.4809,-2.2374,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,General acute hospital,125601.0,303963.0,37.0,61126517.0,175741.0,0.0,0.0,100.0,0.0,0.0,0,35617086.0,45.101,53.3947,-2.279,0,0,0,0,0,0,0,0,0,0,17.388336052582698
2021_22,Non inpatient,10112.0,27302.0,0.0,3081343.0,8801.0,0.0,0.0,100.0,0.0,0.0,0,0.0,10.0,53.4258,-2.23295,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,General acute hospital,50910.0,143566.0,14.0,13167016.0,44212.0,0.0,0.0,95.0,0.0,0.0,0,19051109.0,60.67,53.449250000000006,-2.3687500000000004,0,0,0,0,0,0,0,0,0,0,16.762635925556022
2021_22,Mixed service hospital,6755.0,19049.0,0.0,762225.0,4436.0,0.0,0.0,100.0,0.0,0.0,0,0.0,10.0,53.38524,-2.36554,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,Other inpatient,1717.0,4636.0,0.0,411735.0,1893.0,0.0,0.0,0.0,0.0,0.0,0,0.0,70.0,53.4258,-2.23295,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,Non inpatient,1280.0,3456.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,70.0,53.3947,-2.279,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,Other inpatient,1914.0,5168.0,0.0,734067.0,2645.0,0.0,0.0,100.0,0.0,0.0,0,0.0,70.0,53.4258,-2.23295,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,Non inpatient,672.0,1895.0,0.0,203563.0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,100.0,53.4252,-2.3244,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,Other Reportable Site,10940.0,34461.0,0.0,775555.0,2192.0,0.0,0.0,50.0,0.0,0.0,0,0.0,49.687,53.4698,-2.2295,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,Non inpatient,4440.0,14550.0,0.0,1271315.0,1718.0,0.0,0.0,10.0,0.0,0.0,0,5216139.0,100.0,54.874233333333336,-1.4153666666666669,0,0,0,0,0,0,0,0,0,0,15.467268222719223
2021_22,Non inpatient,4286.0,10083.0,68.8,686888.0,1342.0,0.0,0.0,5.0,0.0,0.0,0,285450.0,10.0,54.973,-1.5155,0,0,0,0,0,0,0,0,0,0,12.561825664626767
2021_22,General acute hospital,125398.0,305451.0,0.0,51934058.0,171384.0,0.0,0.0,85.0,0.0,2.0,0,17297827.0,38.046,54.9004,-1.4255,0,0,0,0,0,0,0,0,0,0,16.666091502453106
2021_22,Non inpatient,2493.0,6731.0,0.0,570369.0,15346.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,54.77482,-1.56714,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,General acute hospital,50052.0,101437.0,15.4,26974620.0,74891.0,0.0,0.0,5.0,0.0,4.0,0,14410781.0,58.993,54.9667,-1.4,0,0,0,0,0,0,0,0,0,0,16.48348723437279
2021_22,Other inpatient,3193.0,7703.0,0.0,567111.0,1959.0,0.0,0.0,5.0,0.0,0.0,0,192000.0,10.0,54.8792,-1.37365,0,0,0,0,0,0,0,0,0,0,12.165255859329688
2021_22,Specialist hospital (acute only),7122.0,20708.0,0.0,2934345.0,8641.0,0.0,0.0,15.0,0.0,2.0,0,6915192.0,90.795,54.8792,-1.37365,0,0,0,0,0,0,0,0,0,0,15.74923143303135
2021_22,Unoccupied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,50.2,54.974050000000005,-1.4842499999999998,1,0,0,0,0,0,0,0,0,0,0.0
2021_22,Non inpatient,4949.0,16330.0,9.4,1613811.0,4289.0,0.0,0.0,5.0,0.0,0.0,0,602257.0,60.0,54.974050000000005,-1.4842499999999998,0,0,0,0,0,0,0,0,0,0,13.308441203909025
2021_22,General acute hospital,74324.0,157798.0,9.0,28268134.0,144941.0,0.0,0.0,57.0,0.0,1.0,0,47232525.0,58.5,50.7167,-2.0,0,0,0,0,0,0,0,0,0,0,17.670593323397885
2021_22,General acute hospital,79147.0,254579.0,0.0,11948050.0,111740.0,0.0,6737010.0,55.0,0.0,0.0,0,18184032.0,30.206000000000003,50.7363,-1.827,0,0,0,0,0,0,0,0,0,0,16.716054459295094
2021_22,Community hospital (with inpatient beds),7866.0,18299.0,0.0,1334786.0,11203.0,0.0,0.0,90.0,0.0,0.0,0,178238.0,51.226,50.755406666666666,-1.7577666666666665,0,0,0,0,0,0,0,0,0,0,12.09088062529239
2021_22,Non inpatient,1457.0,5099.0,0.0,2235120.0,20923.0,0.0,0.0,85.0,0.0,0.0,0,2392007.0,40.0,50.73853333333333,-1.9198333333333333,0,0,0,0,0,0,0,0,0,0,14.687643738528672
2021_22,Non inpatient,2796.0,7671.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0,471910.0,20.0,52.1651,-2.1974428571428573,0,0,0,0,0,0,0,0,0,0,13.064545687466115
2021_22,Community hospital (with inpatient beds),9350.0,21341.0,14.0,3042765.0,5918.0,0.0,0.0,12.0,0.0,3.0,0,5320408.0,95.7,52.10796153846154,-1.9201384615384616,0,0,0,0,0,0,0,0,0,0,15.487060738061983
2021_22,Mental Health (including Specialist services),700.0,1584.0,46.0,173112.0,1248.0,0.0,0.0,20.0,0.0,0.0,0,42374.0,40.0,52.3427125,-2.07645,0,0,0,0,0,0,0,0,0,0,10.65431384468275
