site_code,site_name,post_code,trust_code,gross_internal_floor_area_m2,site_heated_volume_m3,not_functionally_suitable_occupied_floor_area_pct,gas_consumed_kwh,water_volume_including_borehole_m3,steam_consumed_kwh,hot_water_consumed_kwh,led_lighting_coverage_pct,oil_led_heating_sources_no,overheating_occurrences_triggering_a_risk_assessment_no,flood_occurrences_triggering_a_risk_assessment_no,total_backlog_cost_gbp,age_vulnerability_score,latitude,longitude,not_functionally_suitable_occupied_floor_area_pct_missing,gas_consumed_kwh_missing,water_volume_including_borehole_m3_missing,steam_consumed_kwh_missing,hot_water_consumed_kwh_missing,led_lighting_coverage_pct_missing,oil_led_heating_sources_no_missing,overheating_occurrences_triggering_a_risk_assessment_no_missing,gross_internal_floor_area_m2_missing,site_heated_volume_m3_missing,site_type_Community hospital (with inpatient beds),site_type_General acute hospital,site_type_Learning Disabilities,site_type_Mental Health (including Specialist services),site_type_Mental Health and Learning Disabilities,site_type_Mixed service hospital,site_type_Non inpatient,site_type_Other Reportable Site,site_type_Other inpatient,site_type_Specialist hospital (acute only),site_type_Support Facility,site_type_Unoccupied,year_2021_22,year_22_23,year_23_24,year_24_25
C5Y2X,LANCE BURN HEALTH CENTRE,M6 5QX,R0A,516.0,1455.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,,20.0,53.4926,-2.2991,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
C9Y7X,CRESCENT BANK,M8 9JS,R0A,565.0,1594.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,,90.0,53.4986,-2.2385,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
E4D1L,WYTHENSHAWE OFFICES,M22 4PJ,R0A,757.0,2135.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,,40.0,53.3861,-2.2599,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
I0Z5L,"MEDICAL RECORD 2, ASHBURY'S BUSINESS CENTRE",M12 5BX,R0A,618.0,1669.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0,0.0,40.0,53.4442,-2.1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
I5U0V,"MEDICAL RECORDS 1, DELTA INDUSTRIAL ESTATE",M18 8DB,R0A,1419.0,3831.0,0.0,18710.0,345.0,0.0,0.0,100.0,0.0,0.0,0,0.0,40.0,53.4667,-2.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
O3L2I,MEADWAY HEALTH CENTRE,M33 4PS,R0A,784.0,2211.0,0.0,101567.0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,60.0,53.4252,-2.3244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0A01,ISLAND SITE,M13 9WL,R0A,292119.0,823776.0,0.0,80090683.0,314053.0,0.0,0.0,5.0,1.0,0.0,0,28286384.0,25.8,53.4698,-2.2295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R0A06,UNIVERSITY DENTAL HOSPITAL OF MANCHESTER,M15 6FH,R0A,9731.0,27441.0,0.0,1779451.0,5948.0,0.0,0.0,30.0,0.0,0.0,0,0.0,100.0,53.4809,-2.2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0A07,WYTHENSHAWE HOSPITAL,M23 9LT,R0A,125601.0,303963.0,37.0,61126517.0,175741.0,0.0,0.0,100.0,0.0,0.0,0,35617086.0,45.101,53.3947,-2.279,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R0A08,WITHINGTON COMMUNITY HOSPITAL,M20 2LR,R0A,10112.0,27302.0,0.0,3081343.0,8801.0,0.0,0.0,100.0,0.0,0.0,0,0.0,10.0,53.4258,-2.23295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
